a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,d1,d2,d3,d4,d5,e1,e2,e3,e4,e5,f1,f2,f3,f4,f5,g1,g2,g3,g4,g5,h1,h2,h3,h4,h5
3.503777277661993,7.000000000000001,1.4282856857085704,1.7000000000000002,16.999999999999996,2.724523070701263,4.0,1.224744871391589,0.6,10.0,4.109125988739978,3.5,1.6583123951777,2.05,6.5,4.318640930995935,11.0,1.8027756377319946,1.0986425339366515,35.0,0.0,0.0,0.0,0.0,0.0,2.7773330646959034,3.0,1.7320508075688772,1.7,5.0,2.4680514925039145,3.0,1.4142135623730951,0.7,5.0,2.4680514925039145,3.0,1.4142135623730951,0.7,5.0
3.547411818811937,7.0,2.1081851067789197,3.7,12.333333333333334,2.933815614908366,3.0,1.3228756555322954,1.3,6.0,4.236372820344401,6.0,1.5,1.5294117647058825,17.0,4.331610831181585,9.5,1.5811388300841898,0.65,23.5,1.8905359532415076,0.0,1.0,1.0,0.0,2.4680514925039145,4.0,1.4142135623730951,0.6,10.0,1.8905359532415076,1.0,1.0,0.5,1.0,1.8905359532415076,3.0,1.0,0.1,9.0
3.46393009954137,10.0,2.0548046676563256,2.333333333333333,23.333333333333336,2.980994648898612,4.0,2.0,2.6,10.0,4.236372820344401,7.0,1.5,0.9,16.0,4.236372820344401,8.0,1.5,0.7692307692307693,23.0,0.0,0.0,0.0,0.0,0.0,2.4680514925039145,3.0,1.4142135623730951,0.7,5.0,1.8905359532415076,1.0,1.0,0.5,1.0,1.8905359532415076,0.0,1.0,1.0,0.0
3.4365914783199,6.5,1.8027756377319946,2.2,11.0,1.8905359532415076,1.0,1.0,0.5,1.0,4.331610831181586,5.0,1.5811388300841898,2.429411764705882,15.0,4.331610831181586,7.0,1.5811388300841898,1.6294117647058823,19.0,1.8905359532415076,0.0,1.0,1.0,0.0,2.4680514925039145,4.0,1.4142135623730951,0.6,10.0,2.4680514925039145,3.0,1.4142135623730951,0.7,5.0,2.4680514925039145,4.0,1.4142135623730951,0.6,10.0
3.4470910404748616,6.4,1.6370705543744901,2.24,14.8,3.014247538312889,3.6666666666666665,1.2018504251546631,0.8999999999999999,7.666666666666666,4.169066537979235,4.333333333333333,1.2472191289246473,1.212820512820513,12.999999999999998,4.236372820344401,7.0,1.5,1.0294117647058822,18.0,1.8905359532415076,3.0,1.0,0.1,9.0,1.8905359532415076,2.0,1.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,2.0,1.0,0.2,4.0
3.4228898039463984,8.25,1.713913650100261,1.875,20.75,2.73878624010655,4.5,1.5,1.15,13.5,4.236372820344401,7.0,1.5,1.0294117647058822,18.0,4.236372820344401,7.5,1.5,1.3486425339366515,26.5,1.8905359532415076,1.0,1.0,0.5,1.0,1.8905359532415076,2.0,1.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,2.4680514925039145,4.0,1.4142135623730951,0.4,8.0
3.0658358092734828,3.5,1.357847561400027,1.15,5.0,0.0,0.0,0.0,0.0,0.0,3.754563334659087,6.0,1.224744871391589,0.22941176470588237,19.0,4.08730813106686,8.0,1.4529663145135578,0.5520361990950227,26.0,1.8905359532415076,0.0,1.0,1.0,0.0,1.8905359532415076,3.0,1.0,0.1,9.0,0.0,0.0,0.0,0.0,0.0,2.415761655169832,1.0,1.118033988749895,1.0,1.0
3.5745981687795276,10.5,2.7386127875258306,4.85,21.5,3.4713314644831277,13.0,3.0,4.300000000000001,31.0,4.2726342250228795,10.0,2.449489742783178,2.2588235294117647,24.0,3.96385587886619,4.5,1.3228756555322954,1.3088235294117647,16.5,1.8905359532415076,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4680514925039145,1.0,1.4142135623730951,1.5,1.0
3.5730412897108206,10.000000000000002,2.1343747458109497,2.9333333333333336,19.333333333333332,2.4680514925039145,3.0,1.4142135623730951,0.7,5.0,4.475879819412127,11.0,1.7320508075688772,1.4986425339366514,34.0,4.224752191739869,8.0,1.7320508075688772,1.1,19.0,2.4680514925039145,4.0,1.4142135623730951,0.6,10.0,2.4680514925039145,5.0,1.4142135623730951,0.30000000000000004,13.0,0.0,0.0,0.0,0.0,0.0,2.4680514925039145,5.0,1.4142135623730951,0.30000000000000004,13.0
3.222290477316734,4.57142857142857,1.4356965173029843,1.2857142857142856,7.428571428571428,0.0,0.0,0.0,0.0,0.0,4.178673529789369,7.666666666666666,1.3743685418725535,0.765761689291101,25.666666666666664,4.318640930995935,9.0,1.8027756377319946,1.6986425339366513,29.0,1.8905359532415076,0.0,1.0,1.0,0.0,2.4680514925039145,3.0,1.4142135623730951,1.1,9.0,0.0,0.0,0.0,0.0,0.0,2.4680514925039145,2.0,1.4142135623730951,1.0,2.0
